"ID","Name","Grade"
"10950"," ""Erwin Stoff""","3.70541256"
"8702"," ""Jason Hoffs""","3.70541256"
"53756"," ""Tom Lassally""","3.70541256"
"119665"," ""Gregory Jacobs""","3.70541256"
"1093"," ""Lawrence Gordon""","2.7470334"
"1269"," ""Kevin Costner""","4.24208848"
"2043"," ""John Davis""","3.47234916"
"7681"," ""Charles Gordon""","2.6421822"
"7784"," ""Bob Ducsay""","3.02469017"
"15277"," ""Jon Favreau""","9.665506"
"1607513"," ""Brigham Taylor""","9.665506"
"113674"," ""Victoria Alonso""","6.23933331"
"113675"," ""Jeremy Latcham""","6.23933331"
"136"," ""Sam Mercer""","4.08247917"
"12824"," ""Don Hahn""","7.58539785"
"67802"," ""Rick Jaffa""","7.10644566"
"67803"," ""Amanda Silver""","7.10644566"
"266920"," ""Peter Chernin""","7.10644566"
"935717"," ""Dylan Clark""","7.10644566"
"48309"," ""Paul Breuls""","0.05728213"
"48310"," ""Catherine Vandeleene""","0.05728213"
"62927"," ""Guy J. Louthan""","0.021"
"322424"," ""Grant Bradley""","0.021"
"587816"," ""Ajey Jhankar""","0.021"
"941088"," ""Dale G. Bradley""","0.021"
"5378"," ""Pamela Abdy""","1.7396501"
"7087"," ""Brad Bird""","2.09154322"
"40592"," ""Jeffrey Chernov""","2.09154322"
"69798"," ""Clark Spencer""","4.71222889"
"928605"," ""Monica Lago-Kaytis""","4.71222889"
"24"," ""Robert Zemeckis""","4.29632142"
"30"," ""Steve Starkey""","6.77945399"
"27098"," ""Gary Goetzman""","6.09841637"
"42357"," ""William Teitler""","3.0587572999999995"
"6046"," ""Roland Emmerich""","5.44272402"
"8676"," ""Dean Devlin""","8.16969268"
"12894"," ""Bonnie Arnold""","6.09123048"
"3986"," ""Mario Kassar""","4.35"
"7227"," ""Hal Lieberman""","4.35"
"7228"," ""Joel B. Michaels""","4.35"
"56967"," ""Andrew G. Vajna""","4.35"
"66185"," ""Matthias Deyle""","4.35"
"1282435"," ""Colin Wilson""","4.35"
"2162"," ""Lynda Obst""","6.75120017"
"132118"," ""Kazutoshi Wadakura""","0.77"
"1109004"," ""Yoshihiro Sato""","0.77"
"1537404"," ""Taichi Ueda""","0.77"
"1821075"," ""Masaya Shibusawa""","0.77"
"489"," ""Kathleen Kennedy""","9.201"
"7475"," ""Cean Chaffin""","3.69330363"
"120606"," ""Gregory Goodman""","4.15484914"
"4446"," ""Jon Kilik""","8.47423452"
"935634"," ""Nina Jacobson""","8.47423452"
"5231"," ""Wolfgang Petersen""","4.97409852"
"5575"," ""Akiva Goldsman""","6.24029371"
"6866"," ""Todd Arnow""","1.81674817"
"6867"," ""Chris Briggs""","1.81674817"
"6869"," ""Mike Fleiss""","1.81674817"
"6871"," ""Barbara Huber""","1.81674817"
"6873"," ""Kimberly Miller""","1.81674817"
"510"," ""Tim Burton""","3.36529144"
"12106"," ""Aron Warner""","9.19838758"
"574003"," ""Denise Nolan Cascino""","7.98958165"
"465"," ""Tessa Ross""","4.33677183"
"37436"," ""Alex Gartner""","4.33677183"
"29018"," ""Dana Goldberg""","4.40603537"
"58433"," ""David Ellison""","6.82330139"
"1117948"," ""Cort Kristensen""","4.15686217"
"865"," ""Michael Bay""","5.53799566"
"10120"," ""Jennifer Klein""","4.49220945"
"8374"," ""Iain Smith""","2.58270008"
"1152"," ""Oliver Stone""","2.05405498"
"2360"," ""Thomas Schuhly""","1.67298192"
"75476"," ""Tabrez Noorani""","1.67298192"
"1102197"," ""Santa Pestonji""","1.67298192"
"638"," ""Michael Mann""","6.24029371"
"2888"," ""Will Smith""","6.24029371"
"46080"," ""James Lassiter""","6.24029371"
"49917"," ""Tracy Torme""","5.8534901"
"1298"," ""Brad Grey""","4.74968763"
"32532"," ""Brad Lewis""","6.23722818"
"10965"," ""Chris Columbus""","5.74480841"
"17825"," ""Shawn Levy""","5.74480841"
"17828"," ""Michael Barnathan""","5.74480841"
"6968"," ""Hugh Jackman""","4.15440673"
"1091"," ""Joel Silver""","7.38599701"
"61416"," ""Peter Del Vecho""","12.74219009"
