"OriginalOrder","ID","Name","Grade","Value"
"18","69899","""Zachary Levi""","5.91794936","4"
"19","16855","""Mandy Moore""","5.91794936","4"
"20","2517","""Donna Murphy""","5.91794936","4"
"33","18182","""Olga Kurylenko""","5.86090727","4"
"34","8789","""Mathieu Amalric""","5.86090727","4"
"37","9273","""Amy Adams""","6.62845518","4"
"38","335","""Michael Shannon""","6.62845518","4"
"46","2176","""Tommy Lee Jones""","6.24026776","4"
"47","16851","""Josh Brolin""","6.24026776","4"
"60","70851","""Jack Black""","6.65692281","4"
"90","134","""Jamie Foxx""","7.05717432","4"
"92","1229","""Jeff Bridges""","5.85174222","4"
"94","887","""Owen Wilson""","5.59852396","4"
"95","15897","""Larry the Cable Guy""","5.59852396","4"
"98","133","""Peter Sarsgaard""","7.10644566","4"
"106","287","""Brad Pitt""","6.1189942","4"
"136","66","""Chris Tucker""","6.52105443","4"
"149","68812","""Ed Asner""","7.35099082","4"
"150","290","""Christopher Plummer""","7.35099082","4"
"151","80676","""Jordan Nagai""","7.35099082","4"
"155","18288","""Terrence Howard""","5.85174222","4"
"166","500","""Tom Cruise""","6.9471338000000005","4"
"180","6885","""Charlize Theron""","6.24029371","4"
"184","1333","""Andy Serkis""","7.10644566","4"
"185","76512","""Jason Clarke""","7.10644566","4"
"191","2231","""Samuel L. Jackson""","7.14766572","4"
"196","1461","""George Clooney""","7.16392705","4"
"198","66580","""Scott Adsit""","6.52105443","4"
"199","515510","""Ryan Potter""","6.52105443","4"
"200","82093","""Daniel Henney""","6.52105443","4"
"210","17276","""Gerard Butler""","6.09123048","4"
"216","10297","""Matthew McConaughey""","6.75120017","4"
"217","83002","""Jessica Chastain""","6.75120017","4"
"226","2963","""Nicolas Cage""","5.85178928","4"
"227","28782","""Monica Bellucci""","6.1189942","4"
"236","11108","""Simon Pegg""","6.9471338000000005","4"
"240","23532","""Jason Bateman""","6.24029371","4"
"241","8602","""Alice Braga""","5.8534901","4"
"242","49918","""Charlie Tahan""","5.8534901","4"
"245","10872","""Patton Oswalt""","6.23722818","4"
"247","7962","""Lou Romano""","6.23722818","4"
"250","9575","""Jada Pinkett Smith""","6.03900354","4"
"260","91606","""Tom Hiddleston""","6.44571402","4"
"271","933238","""Rebecca Ferguson""","6.82330139","4"
"277","4483","""Dustin Hoffman""","6.65692281","4"
"292","517","""Pierce Brosnan""","6.09841637","4"
"297","62","""Bruce Willis""","6.72806292","4"
"300","17604","""Jeremy Renner""","6.9471338000000005","4"
"316","17832","""Carla Gugino""","5.74480841","4"
"350","1892","""Matt Damon""","6.3016189","4"
"358","501","""Dakota Fanning""","5.91739379","4"
"359","502","""Miranda Otto""","5.91739379","4"
"362","3131","""Antonio Banderas""","5.54987477","4"
"363","3136","""Salma Hayek""","5.54987477","4"
"364","58225","""Zach Galifianakis""","5.54987477","4"
"377","118","""Geoffrey Rush""","6.55011224","4"
"382","22123","""Jordana Brewster""","6.26137675","4"
"397","933160","""Suraj Sharma""","6.09016565","4"
"398","935504","""Ayush Tandon""","6.09016565","4"
"415","7905","""Mary Gibbs""","5.62816256","4"
"431","17834","""Jake Cherry""","5.74480841","4"
"442","10912","""Eva Green""","5.990459599999999","4"
"444","5587","""Hank Azaria""","5.63749323","4"
"445","41686","""Neil Patrick Harris""","5.63749323","4"
"446","34195","""Jayma Mays""","5.63749323","4"
"471","935","""Connie Nielsen""","6.09016565","4"
"472","1019","""Mads Mikkelsen""","5.990459599999999","4"
"496","71070","""Amanda Seyfried""","6.09841637","4"
"560","879","""Billy Bob Thornton""","5.53799566","4"
"561","8977","""Craig T. Nelson""","6.31442092","4"
"562","18686","""Holly Hunter""","6.31442092","4"
"567","9625","""Linda Fiorentino""","5.89390539","4"
"601","33","""Gary Sinise""","6.77945399","4"
"618","515","""Glenn Close""","6.52105443","4"
"626","5064","""Meryl Streep""","6.09841637","4"
"648","448","""Hilary Swank""","6.65692281","4"
"728","11616","""Olivia Williams""","6.72806292","4"
"766","49","""Maria Bello""","5.8534901","4"
"835","1161","""Mary Elizabeth Mastrantonio""","6.72806292","4"
"856","8767","""Jim Caviezel""","6.1189942","4"
"900","2878","""C. Thomas Howell""","6.1189942","4"
"1324","3051","""Toni Collette""","6.72806292","4"
"1329","118545","""Dakota Johnson""","5.71006128","4"
"1330","1254583","""Jamie Dornan""","5.71006128","4"
"1331","49971","""Jennifer Ehle""","5.71006128","4"
"1400","50","""Catherine Deneuve""","6.9471338000000005","4"
"1458","830","""Joe Cortese""","6.75120017","4"
"1550","765","""Hiam Abbass""","7.10644566","4"
"1889","8768","""Maia Morgenstern""","6.1189942","4"
"2017","93592","""Jerome Deschamps""","5.55","4"
"2018","2415","""Yolande Moreau""","5.55","4"
"2019","93593","""Louise Wallon""","5.55","4"
"2204","860","""Eve Arden""","5.8534901","4"
"2517","820","""Edward Furlong""","6.52105443","4"
"2984","34","""Mykelti Williamson""","5.63749323","4"
"3124","101","""Leonor Watling""","5.990459599999999","4"
"3537","102","""Deborah Harry""","6.75120017","4"
"3562","11854","""Ian Charleson""","5.71006128","4"
