"OriginalOrder","ID","Name","Grade","Value"
"0","65731","""Sam Worthington""","3.71353001","3"
"30","17271","""Brandon Routh""","3.91081192","3"
"31","1979","""Kevin Spacey""","3.91081192","3"
"32","7517","""Kate Bosworth""","3.91081192","3"
"36","886","""William Fichtner""","4.772","3"
"39","25130","""Ben Barnes""","4.19651413","3"
"54","934","""Russell Crowe""","5.32950503","3"
"56","2201","""Max von Sydow""","4.41306145","3"
"57","45589","""Dakota Blue Richards""","3.72234864","3"
"58","2227","""Nicole Kidman""","3.72234864","3"
"59","3489","""Naomi Watts""","5.5","3"
"61","3490","""Adrien Brody""","5.5","3"
"67","131519","""Rihanna""","3.68871007","3"
"78","4587","""Halle Berry""","4.59359555","3"
"88","18973","""Mila Kunis""","5.49368315","3"
"89","3293","""Rachel Weisz""","4.91868548","3"
"91","9828","""Garrett Hedlund""","4.00062763","3"
"93","59315","""Olivia Wilde""","4.00062763","3"
"102","21028","""Anton Yelchin""","3.71353001","3"
"107","175826","""Mireille Enos""","5.31865","3"
"108","1027850","""Abigail Hargrove""","5.31865","3"
"111","62064","""Chris Pine""","4.67365246","3"
"112","17306","""Zachary Quinto""","4.67365246","3"
"113","3292","""Nicholas Hoult""","3.7885834000000003","3"
"116","36662","""Carey Mulligan""","4.35","3"
"117","131","""Jake Gyllenhaal""","5.44272402","3"
"120","17605","""Idris Elba""","4.07602906","3"
"121","56365","""Charlie Hunnam""","4.07602906","3"
"122","95101","""Charlie Day""","4.07602906","3"
"129","9015","""Kelly Macdonald""","5.38983207","3"
"130","477","""Julie Walters""","5.38983207","3"
"131","9188","""Billy Connolly""","5.38983207","3"
"133","670","""Ben Burtt""","5.2131186","3"
"134","72754","""Elissa Knight""","5.2131186","3"
"135","60074","""Jeff Garlin""","5.2131186","3"
"138","9195","""Hiroyuki Sanada""","4.15440673","3"
"143","48","""Sean Bean""","4.57696359","3"
"152","19274","""Seth Rogen""","3.8150987","3"
"153","368","""Reese Witherspoon""","3.8150987","3"
"154","41419","""Hugh Laurie""","3.8150987","3"
"160","18269","""Brendan Fraser""","4.33013274","3"
"161","1336","""Jet Li""","4.01128639","3"
"162","10727","""John Hannah""","4.33013274","3"
"167","5081","""Emily Blunt""","3.70541256","3"
"168","2039","""Brendan Gleeson""","3.70541256","3"
"169","1269","""Kevin Costner""","4.24208848","3"
"172","6065","""Dennis Quaid""","5.44272402","3"
