"OriginalOrder","ID","Name","Grade","Value"
"12","60900","""Taylor Kitsch""","3.03025485","2"
"13","21044","""Lynn Collins""","2.841391","2"
"14","2206","""Samantha Morton""","3.58372926","2"
"66","28846","""Alexander Skarsgard""","3.56743061","2"
"97","59175","""Blake Lively""","2.19851172","2"
"114","73357","""Eleanor Tomlinson""","1.97687603","2"
"118","59620","""Gemma Arterton""","3.35154643","2"
"126","963134","""Raymond Ochoa""","3.31926147","2"
"127","1476748","""Jack Bright""","3.31926147","2"
"128","2954","""Jeffrey Wright""","3.31926147","2"
"137","18897","""Jackie Chan""","3.47325802","2"
"142","38673","""Channing Tatum""","3.02469017","2"
"157","77996","""Asa Butterfield""","1.8577016","2"
"158","8945","""Kevin Kline""","2.22104681","2"
"159","11181","""Kenneth Branagh""","2.22104681","2"
"170","59350","""Chaim Girafi""","2.6421822","2"
"171","3432","""Rick Aviles""","2.6421822","2"
"173","9562","""Marlon Wayans""","3.02469017","2"
"195","52018","""Britt Robertson""","2.09154322","2"
"197","1055230","""Raffey Cassidy""","2.09154322","2"
"204","2169","""Michael Jeter""","3.0587572999999995","2"
"205","18286","""Nona Gaye""","3.0587572999999995","2"
"223","17647","""Michelle Rodriguez""","2.40159255","2"
"224","3063","""Tilda Swinton""","3.33932083","2"
"238","72466","""Colin Farrell""","3.58372926","2"
"239","5576","""Val Kilmer""","3.56830601","2"
"262","8786","""Ayelet Zurer""","3.56613439","2"
"263","8891","""John Travolta""","3.09979994","2"
"264","76594","""Miley Cyrus""","3.09979994","2"
"265","56910","""Susie Essman""","3.09979994","2"
"266","6807","""Sam Rockwell""","2.92817841","2"
"267","56903","""Tracy Morgan""","2.92817841","2"
"269","1160","""Michelle Pfeiffer""","2.8","2"
"272","1121","""Benicio del Toro""","2.07515725","2"
"273","4173","""Anthony Hopkins""","2.72742922","2"
"274","16377","""Jerry Seinfeld""","2.87594577","2"
"275","9137","""Renee Zellweger""","3.67275019","2"
"276","12077","""Jim Cummings""","2.87594577","2"
"278","88816","""Noah Ringer""","3.18502923","2"
"279","61186","""Nicola Peltz""","3.18502923","2"
"280","84215","""Jackson Rathbone""","3.18502923","2"
"283","125025","""Joey King""","2.05366737","2"
"284","13922","""Seth Green""","2.96655431","2"
"288","15232","""Ty Burrell""","2.7291243","2"
"289","558928","""Max Charles""","2.7291243","2"
"290","42160","""Ariel Winter""","2.7291243","2"
"294","55536","""Melissa McCarthy""","2.29147509","2"
"296","1240487","""Kate McKinnon""","2.29147509","2"
"298","5538","""Ray Winstone""","1.95735876","2"
"301","7447","""Alec Baldwin""","3.0694167","2"
"307","33192","""Joel Edgerton""","2.68031828","2"
"308","1241","""John Turturro""","2.68031828","2"
"313","10860","""Jessica Biel""","2.16485654","2"
"314","50463","""Malin Akerman""","1.85258983","2"
"315","8289","""Billy Crudup""","1.85258983","2"
"318","2047","""Danny Glover""","3.21731527","2"
"320","6161","""Jennifer Connelly""","3.62637473","2"
"321","16431","""Sam Elliott""","2.4536048","2"
"325","55636","""Donald Sutherland""","2.14015089","2"
"326","21702","""Ming-Na Wen""","3.04320254","2"
"328","1957","""Sophie Marceau""","3.618324","2"
"329","18023","""Robert Carlyle""","3.618324","2"
"330","6162","""Paul Bettany""","2.78731369","2"
"331","19655","""James D'Arcy""","2.12011111","2"
"337","819","""Edward Norton""","3.04654182","2"
"339","3129","""Tim Roth""","3.6221174","2"
"344","13242","""Paul Giamatti""","2.82570682","2"
"345","454","""Michael Pena""","2.82570682","2"
"346","52848","""Isla Fisher""","2.45724603","2"
"360","78029","""Martin Lawrence""","2.73339556","2"
"361","31384","""Jordi Molla""","2.73339556","2"
"367","120724","""Jaden Smith""","3.07077295","2"
"368","2598","""Sophie Okonedo""","2.43843127","2"
"369","61962","""D. B. Sweeney""","3.54248063","2"
"370","1981","""Alfre Woodard""","3.54248063","2"
"371","15531","""Ossie Davis""","3.54248063","2"
"372","17838","""Rami Malek""","3.49424282","2"
"373","221581","""Rebel Wilson""","3.49424282","2"
"375","56323","""Tina Fey""","3.21887208","2"
"376","4724","""Kevin Bacon""","3.55237933","2"
"383","15440","""Jared Harris""","3.34615","2"
"384","4430","""Sharon Stone""","2.61317921","2"
"385","10768","""Rachel Ticotin""","2.61317921","2"
"388","5577","""Chris O'Donnell""","2.38207122","2"
"389","20480","""Taylor Momsen""","3.45141403","2"
"390","4175","""Jeffrey Tambor""","3.45141403","2"
"394","2882","""Diane Lane""","3.25756637","2"
"395","65524","""Ioan Gruffudd""","2.89047763","2"
"396","56731","""Jessica Alba""","2.89047763","2"
"400","8210","""Wes Bentley""","2.28738393","2"
"403","140","""Lucy Liu""","2.64105545","2"
"407","16935","""Geena Davis""","3.00135367","2"
"408","1038","""Jodie Foster""","2.861407","2"
"411","6886","""Christina Ricci""","2.87928194","2"
"427","76110","""Stephen Amell""","2.45623848","2"
"433","378","""Jonathan Pryce""","3.33011068","2"
"434","1620","""Michelle Yeoh""","3.33011068","2"
"435","20810","""Joely Richardson""","2.15294342","2"
"436","1922","""Catherine Zeta-Jones""","3.6274428","2"
"438","94185","""Shailene Woodley""","3.07166834","2"
"439","587020","""Theo James""","2.95238201","2"
"440","17380","""Jay Chou""","2.27817248","2"
"441","38664","""Sullivan Stapleton""","3.37580051","2"
"450","234479","""Dakota Goyo""","2.99268508","2"
"451","12261","""Jason Patric""","2.665868","2"
"452","130640","""Hailee Steinfeld""","2.87506194","2"
"459","18354","""Bridget Moynahan""","3.47234916","2"
"460","21088","""Alan Tudyk""","3.47234916","2"
"461","16940","""Jeremy Irons""","3.66101666","2"
"462","15563","""Anika Noni Rose""","2.67045765","2"
"463","66252","""Bruno Campos""","2.67045765","2"
"464","65827","""Keith David""","2.67045765","2"
"467","3092","""Diane Keaton""","2.66728738","2"
"469","1771","""Giovanni Ribisi""","2.37202299","2"
"474","5292","""Denzel Washington""","2.66465037","2"
"479","3085","""James Caan""","2.48384621","2"
"480","27011","""Vanessa Williams""","2.42295562","2"
"481","3999","""Tom Hulce""","2.31411584","2"
"484","60950","""David Spade""","3.58375603","2"
"486","16483","""Sylvester Stallone""","3.12573423","2"
"487","976","""Jason Statham""","3.12573423","2"
"488","16644","""Dolph Lundgren""","3.12573423","2"
"489","9824","""Diane Kruger""","3.47451894","2"
"490","21180","""Justin Bartha""","3.47451894","2"
"491","25438","""Ed Speleers""","2.49288105","2"
"492","7055","""Sienna Guillory""","2.49288105","2"
"497","5168","""Gabriel Byrne""","2.11989043","2"
"498","7166","""Kevin Pollak""","2.11989043","2"
"507","5049","""John Hurt""","2.434","2"
"511","62862","""Danny McBride""","3.49779543","2"
"522","17141","""Greg Kinnear""","3.14178011","2"
"523","1393177","""Noah Schnapp""","2.46233113","2"
"524","94011","""Bill Melendez""","2.46233113","2"
"525","1393179","""Venus Schultheis""","2.46233113","2"
"528","11856","""Daniel Day-Lewis""","2.7529345000000003","2"
"531","11664","""Zooey Deschanel""","2.25990978","2"
"536","520","""Sarah Jessica Parker""","2.88347692","2"
"537","38025","""Kristin Davis""","3.5569276","2"
"538","38024","""Cynthia Nixon""","2.88347692","2"
"550","1231","""Julianne Moore""","2.29074524","2"
"551","20508","""Iain Glen""","2.7470334","2"
"558","224181","""Jai Courtney""","3.04654182","2"
"559","8197","""Sebastian Koch""","3.04654182","2"
"565","33235","""Logan Lerman""","2.26497209","2"
"566","53336","""Brandon T. Jackson""","2.26497209","2"
"568","1339","""Zhang Ziyi""","3.47325802","2"
"570","19278","""Bill Hader""","2.48384621","2"
"571","1772","""Anna Faris""","2.48384621","2"
"573","108916","""Rooney Mara""","2.3261743","2"
"578","35219","""Corey Burton""","1.86053725","2"
"579","52300","""Claudia Christian""","1.86053725","2"
"581","98285","""Bella Thorne""","2.33755553","2"
"582","23229","""Carice van Houten""","2.00276","2"
"584","59192","""Emmanuelle Chriqui""","2.01596308","2"
"585","11705","""Michelle Monaghan""","2.43637091","2"
"586","22970","""Peter Dinklage""","2.43637091","2"
"587","9640","""Haley Joel Osment""","2.35926552","2"
"588","1518","""Frances O'Connor""","2.35926552","2"
"589","8213","""Sam Robards""","2.35926552","2"
"593","1951","""Elisabeth Shue""","1.90213455","2"
"597","57755","""Woody Harrelson""","3.34901337","2"
"598","1118","""Rade Serbedzija""","2.22104681","2"
"599","4135","""Robert Redford""","1.86883563","2"
"600","2462","""Catherine McCormack""","2.1","2"
"602","504","""Tim Robbins""","2.434","2"
"610","2955","""Chris Cooper""","2.14034224","2"
"616","679","""Franka Potente""","2.88500217","2"
"617","1248","""Brian Cox""","2.88500217","2"
"620","18352","""Patrick Dempsey""","3.40487652","2"
"621","11006","""James Marsden""","3.40487652","2"
"622","21657","""Vera Farmiga""","3.20170008","2"
"627","18976","""Ashton Kutcher""","1.97309027","2"
"628","57599","""Seann William Scott""","2.34989584","2"
"631","643","""Gong Li""","1.93677158","2"
"633","155","""Lucas Black""","3.54248063","2"
"645","39995","""Michael Cera""","2.31411584","2"
"649","18792","""Delroy Lindo""","3.09492681","2"
"651","1211","""Larry Miller""","2.24920315","2"
"652","33260","""Freddie Prinze Jr.""","2.75650703","2"
"653","11863","""Sarah Michelle Gellar""","2.75650703","2"
"654","26457","""Matthew Lillard""","2.75650703","2"
"656","4690","""Christopher Walken""","3.52114312","2"
"670","518","""Danny DeVito""","2.8","2"
"671","52865","""Garry Shandling""","3.43397247","2"
"678","16475","""Burt Reynolds""","1.90320568","2"
"680","213001","""Jenny Slate""","3.42695435","2"
"683","11148","""Joan Allen""","2.45676146","2"
"684","41292","""Keri Russell""","2.12874442","2"
"687","23678","""Michael Jordan""","2.502","2"
"688","4201","""Wayne Knight""","2.502","2"
"689","23679","""Billy West""","2.502","2"
"691","8534","""Kathy Bates""","3.09208309","2"
"692","707","""Dan Aykroyd""","2.01584141","2"
"693","12111","""Justin Timberlake""","2.24920315","2"
"694","2505","""James Cromwell""","1.93","2"
"705","13633","""Mark Addy""","2.57850122","2"
"708","9777","""Cuba Gooding Jr.""","2.73552592","2"
"713","516","""Annette Bening""","3.56296601","2"
"724","2178","""Forest Whitaker""","3.25771424","2"
"727","883","""Will Patton""","2.12404396","2"
"735","7059","""Heike Makatsch""","2.44931766","2"
"747","1158","""Al Pacino""","2.45066411","2"
"748","8169","""Tyrese Gibson""","2.36350661","2"
"750","14343","""Rene Russo""","1.94564672","2"
"752","15555","""Piper Perabo""","1.90212113","2"
"759","4935","""Pete Postlethwaite""","2.29074524","2"
"760","2296","""Clive Owen""","1.84376254","2"
"761","60949","""Rob Schneider""","1.96482882","2"
"763","10695","""Izabella Scorupco""","3.52194034","2"
"769","17346","""Robin Tunney""","2.15663859","2"
"770","14386","""Beyonce Knowles""","2.96655431","2"
"771","139","""Uma Thurman""","3.10940086","2"
"774","25541","""Katherine Heigl""","2.19076518","2"
"775","15112","""Tom Selleck""","2.4","2"
"781","1619","""Chow Yun-fat""","2.13525736","2"
"783","2295","""Mickey Rourke""","2.26904017","2"
"784","34502","""Kellan Lutz""","2.26904017","2"
