"OriginalOrder","ID","Name","Grade","Value"
"62","204","""Kate Winslet""","18.45034188","10"
"63","6193","""Leonardo DiCaprio""","18.45034188","10"
"64","3713","""Frances Fisher""","18.45034188","10"
"125","3","""Harrison Ford""","18.45034188","10"
"421","53","""Peter Stormare""","17.142","10"
"882","5344","""Meg Ryan""","17.142","10"
"938","20","""Elizabeth Perkins""","18.45034188","10"
"1634","2","""Mark Hamill""","18.45034188","10"
"4551","53431","""Nadine Labaki""","17.142","10"
"4552","53442","""Yasmine Al Massri""","17.142","10"
"4553","53443","""Joanna Moukarzel""","17.142","10"
