"ID","Name","Grade"
"11218"," ""Alfonso Cuarfun""","7.89804554"
"65855"," ""Ralph Zondag""","3.54248063"
"65856"," ""Eric Leighton""","3.54248063"
"10965"," ""Chris Columbus""","9.7647555"
"57270"," ""Robert Schwentke""","2.95238201"
"5714"," ""Carlos Saldanha""","8.86686817"
"956"," ""Guy Ritchie""","5.24028679"
"10491"," ""Paul Verhoeven""","2.61317921"
"1090"," ""John McTiernan""","3.66101666"
"19242"," ""Tony Gilroy""","2.76572938"
"5572"," ""Joel Schumacher""","3.36529144"
"11401"," ""John Woo""","5.46388105"
"20400"," ""Tim Story""","2.89047763"
"16837"," ""Mark Steven Johnson""","2.28738393"
"82194"," ""Neill Blomkamp""","2.861407"
"28239"," ""David Twohy""","1.15772733"
"52576"," ""Jose Padilha""","2.42688965"
"3388"," ""James L. Brooks""","3.14178011"
"366"," ""James Mangold""","4.15440673"
"1"," ""George Lucas""","9.24317558"
"71267"," ""Kirk De Micco""","5.85178928"
"20674"," ""Thomas Langmann""","1.329"
"24886"," ""Frederic Forestier""","1.329"
"1454884"," ""Cedric Nicolas-Troyan""","1.64602163"
"21370"," ""Roger Donaldson""","1.7812776000000001"
"1101410"," ""Dave Green""","2.45623848"
"934803"," ""Josh Trank""","1.67977596"
"132876"," ""Brad Peyton""","4.70490832"
"1724"," ""Roger Spottiswoode""","3.33011068"
"1884"," ""Steven Soderbergh""","4.507171499999999"
"201"," ""Michel Gondry""","2.27817248"
"78914"," ""Noam Murro""","3.37580051"
"1215"," ""Raja Gosnell""","5.63749323"
"70287"," ""Will Finn""","1.03951461"
"80671"," ""John Sanford""","1.03951461"
"2209"," ""Jan de Bont""","4.94471524"
"3950"," ""Len Wiseman""","3.83531464"
"57370"," ""Frank Coraci""","2.37681299"
"638"," ""Michael Mann""","2.17764291"
"5133"," ""Bo Welch""","1.34"
"15810"," ""Ron Clements""","5.04050219"
"15811"," ""John Musker""","5.04050219"
"36804"," ""Peter Chelsom""","1.7012846000000001"
"58498"," ""Dominic Sena""","2.37202299"
"893"," ""Tony Scott""","3.56830601"
"3289"," ""Paul Weitz""","3.10650585"
"55710"," ""Adam McKay""","1.73649015"
"26713"," ""Chuck Russell""","3.51583407"
"138"," ""Quentin Tarantino""","4.25368238"
"62047"," ""Gary Trousdale""","1.86053725"
"62048"," ""Kirk Wise""","1.86053725"
"61411"," ""Mark Dindal""","3.14432665"
"12786"," ""Simon West""","3.12573423"
"25453"," ""Stefen Fangmeier""","2.49288105"
"5953"," ""Spike Jonze""","1.00086793"
"5713"," ""Chris Wedge""","3.83257136"
