"OriginalOrder","ID","Name","Grade","Value"
"3","85","""Johnny Depp""","10.65659812","6"
"4","114","""Orlando Bloom""","10.65659812","6"
"5","116","""Keira Knightley""","10.65659812","6"
"9","3894","""Christian Bale""","10.84939099","6"
"10","3895","""Michael Caine""","10.84939099","6"
"11","64","""Gary Oldman""","10.84939099","6"
"24","10980","""Daniel Radcliffe""","9.7647555","6"
"25","10989","""Rupert Grint""","9.7647555","6"
"26","10990","""Emma Watson""","9.7647555","6"
"43","955","""Penelope Cruz""","10.45713802","6"
"44","6972","""Ian McShane""","10.45713802","6"
"48","7060","""Martin Freeman""","10.21103568","6"
"50","30315","""Richard Armitage""","10.21103568","6"
"75","76070","""Mia Wasikowska""","10.2549111","6"
"76","1813","""Anne Hathaway""","10.2549111","6"
"85","13240","""Mark Wahlberg""","10.91405097","6"
"86","2283","""Stanley Tucci""","10.91405097","6"
"87","7090","""Kelsey Grammer""","10.91405097","6"
"99","31","""Tom Hanks""","10.66969703","6"
"100","12898","""Tim Allen""","10.66969703","6"
"101","13726","""Ned Beatty""","10.66969703","6"
"115","3061","""Ewan McGregor""","9.24317558","6"
"119","2282","""Ben Kingsley""","9.665506","6"
"132","1372","""Karl Urban""","10.66969703","6"
"147","1810","""Heath Ledger""","10.04558444","6"
"148","6383","""Aaron Eckhart""","10.04558444","6"
"164","4495","""Steve Carell""","9.70761885","6"
"177","1414734","""Neel Sethi""","9.665506","6"
"178","1532","""Bill Murray""","9.665506","6"
"207","4785","""Jeff Goldblum""","9.201","6"
"209","449","""Jay Baruchel""","9.70761885","6"
"248","3896","""Liam Neeson""","9.24317558","6"
"259","524","""Natalie Portman""","9.24317558","6"
"295","41091","""Kristen Wiig""","9.70761885","6"
"365","478","""Jamie Bell""","9.201","6"
"424","228","""Ed Harris""","10.91405097","6"
"506","4589","""Benjamin Bratt""","9.70761885","6"
"547","14","""Ellen DeGeneres""","9.665506","6"
"552","4783","""Sam Neill""","9.201","6"
"619","63","""Milla Jovovich""","10.04558444","6"
"904","52","""David Morse""","9.24317558","6"
"921","4784","""Laura Dern""","9.201","6"
"1052","141","""David Carradine""","9.665506","6"
"2798","47","""Bjurk""","9.201","6"
