"OriginalOrder","ID","Name","Grade","Value"
"6","8784","""Daniel Craig""","11.08561013","7"
"49","1327","""Ian McKellen""","11.18888979","7"
"65","1245","""Scarlett Johansson""","11.53304495","7"
"71","5309","""Judi Dench""","11.08561013","7"
"72","3810","""Javier Bardem""","11.08561013","7"
"73","12052","""Gwyneth Paltrow""","12.15439994","7"
"74","1896","""Don Cheadle""","12.15439994","7"
"82","10959","""Shia LaBeouf""","11.23746996","7"
"123","6949","""John Malkovich""","11.23746996","7"
"124","83586","""Ken Jeong""","11.23746996","7"
"246","65","""Ian Holm""","11.56730962","7"
"255","530","""Carrie-Anne Moss""","11.08561013","7"
"256","40462","""Kristen Bell""","12.74219009","7"
"257","19394","""Idina Menzel""","12.74219009","7"
"258","221611","""Jonathan Groff""","12.74219009","7"
"334","109","""Elijah Wood""","11.23746996","7"
"409","2232","""Michael Keaton""","11.56730962","7"
"423","18277","""Sandra Bullock""","11.56730962","7"
"546","13","""Albert Brooks""","11.18888979","7"
"549","110","""Viggo Mortensen""","11.18888979","7"
"625","193","""Gene Hackman""","12.74219009","7"
"779","1205","""Richard Gere""","12.15439994","7"
"792","65717","""Jon Hamm""","11.56730962","7"
"801","132","""Scott MacDonald""","11.18888979","7"
"1436","19","""Allison Janney""","12.74219009","7"
"1635","4","""Carrie Fisher""","12.74219009","7"
"2608","381","""Katherine Helmond""","11.08561013","7"
"4452","40","""Orson Welles""","12.74219009","7"
