"OriginalOrder","ID","Name","Grade","Value"
"21","3223","""Robert Downey Jr.""","15.1955791","9"
"23","103","""Mark Ruffalo""","15.1955791","9"
"42","16828","""Chris Evans""","15.1955791","9"
"68","73457","""Chris Pratt""","15.135288099999999","9"
"69","18997","""Bryce Dallas Howard""","15.135288099999999","9"
"70","76793","""Irrfan Khan""","15.135288099999999","9"
"103","12835","""Vin Diesel""","15.062493599999998","9"
"104","8167","""Paul Walker""","15.062493599999998","9"
"105","18918","""Dwayne Johnson""","15.062493599999998","9"
"270","1283","""Helena Bonham Carter""","15.062493599999998","9"
"548","12","""Alexander Gould""","15.062493599999998","9"
"791","32","""Robin Wright""","15.1955791","9"
"2637","73","""Alfred Abel""","15.135288099999999","9"
